Locus_tag	Old_locus_tag	Mutant_norm_replica1	Mutant_norm_replica2	Mutant_norm_replica3	WildType_norm_replica1	WildType_norm_replica2	WildType_norm_replica3	FoldChange	pvalue	padj
SMLT_RS10040	Smlt2088	280.6787621	280.7582246	341.3890756	196.9799695	150.8501903	114.1593381	1.942801832	9.66E-05	0.000188541
SMLT_RS10045	Smlt2089	1866.736529	1771.04927	2212.605003	77.34815556	69.13967055	80.92307511	25.74152512	7.98E-116	6.84E-114
SMLT_RS10050	Smlt2090	297.0145631	313.0124331	345.0599258	31.97057097	26.3987833	14.45054913	12.80295467	2.96E-38	3.74E-37
SMLT_RS10055	Smlt2091	528.6859222	467.6860242	670.8478878	86.62993423	46.512142	52.02197686	8.912517442	1.12E-28	9.76E-28
SMLT_RS10060	Smlt2092	299.2421723	270.4955218	330.3765247	137.1640625	128.2226617	98.26373407	2.461678544	1.45E-09	4.23E-09
SMLT_RS10065	Smlt2093	1868.221602	3023.832053	1903.335868	1047.809681	935.2711797	771.6593234	2.465818614	1.46E-07	3.68E-07
SMLT_RS10070	Smlt2094	434.3837985	572.5122021	376.2621532	151.6023849	157.1356149	119.9395578	3.221361365	1.22E-12	4.38E-12
SMLT_RS10075	Smlt2095	17.82087378	13.9279537	25.69595192	50.5341283	40.22671741	31.79120808	0.460583073	0.003298148	0.005409305
SMLT_RS10080	Smlt2096	82.42154125	122.4193825	78.92328091	308.3613135	170.963549	274.5604334	0.376764249	1.90E-06	4.36E-06
SMLT_RS10085	Smlt2097	92.07451455	85.76687278	58.7336044	521.8422229	217.475691	186.4120837	0.255394406	5.37E-07	1.29E-06
SMLT_RS10090	Smlt2098	76.48124999	70.37281869	69.74615522	43.31496712	37.71254757	34.68131791	1.861331668	0.001067079	0.001848314
SMLT_RS10095	Smlt2099	40.83950242	30.78810818	46.80334101	69.09768564	108.109303	50.57692195	0.517171592	0.006085919	0.009628833
SMLT_RS10100	Smlt2100	13.36565534	12.46185331	9.177125687	12.37570489	21.37044362	14.45054913	0.734331783	0.355468132	0.414113012
SMLT_RS10105	Smlt2101	2.970145631	9.529652531	7.34170055	7.219161186	10.05667935	10.11538439	0.728579922	0.481378749	0.541484249
SMLT_RS10110	Smlt2102	23.76116504	43.98301168	51.39190385	27.845336	70.39675546	67.9175809	0.719839012	0.266690501	0.31830599
SMLT_RS10115	Smlt2103	32.67160194	57.91096538	50.47419128	45.3775846	35.19837773	47.68681212	1.099231667	0.681285161	0.727093843
SMLT_RS10120	Smlt2104	36.38428397	49.11436304	58.7336044	43.31496712	50.28339676	26.01098843	1.193190252	0.462502154	0.522456137
SMLT_RS10125	Smlt2105	15.59326456	9.529652531	11.93026339	10.31308741	12.57084919	26.01098843	0.773715628	0.47523761	0.535528159
SMLT_RS10135	Smlt2107	40.83950242	45.44911207	43.13249073	51.56543704	55.31173644	73.69780055	0.721797578	0.097129018	0.127489611
SMLT_RS10140	Smlt2108	591.0589805	385.5844024	702.0501151	79.41077305	103.0809634	86.70329477	6.240252426	1.11E-21	6.67E-21
SMLT_RS10145	Smlt2110	1021.730097	825.4145192	1096.66652	63.94114193	100.5667935	46.24175721	13.92547355	6.88E-42	9.98E-41
SMLT_RS10150	Smlt2111	205.6825849	170.8006954	234.016705	43.31496712	59.08299119	43.35164738	4.187277117	1.84E-15	7.88E-15
SMLT_RS10155	Smlt2112	626.7007281	773.3679554	552.4629664	171.197251	158.3926998	163.2912051	3.960946557	4.11E-22	2.51E-21
SMLT_RS10160	Smlt2113	397.2569781	461.8216227	432.2426199	174.2911772	131.9939165	134.3901069	2.91832948	1.71E-14	6.88E-14
SMLT_RS10165	Smlt2114	150.7348908	197.9235526	160.5996995	55.69067201	56.56882136	31.79120808	3.501796915	1.04E-10	3.29E-10
SMLT_RS10170	Smlt2115	133.6565534	108.4914288	112.878646	83.53600801	66.62550071	82.36813003	1.526568497	0.009899486	0.015211259
SMLT_RS10175	Smlt2116	116.578216	110.6905794	110.1255082	79.41077305	91.76719909	135.8351618	1.107112056	0.571937852	0.625020795
SMLT_RS10180	Smlt2117	101.7274878	104.8261778	96.35981972	91.78647794	120.6801522	147.3956011	0.847355246	0.332020767	0.389125265
SMLT_RS10185	Smlt2118	107.6677791	145.1439386	162.4351247	90.7551692	45.25505708	70.80769072	1.996480061	0.00116935	0.002016492
SMLT_RS10190	Smlt2119	28.21638349	41.7838611	33.03765247	30.93926223	36.45546265	31.79120808	1.041084403	0.861792946	0.885136176
SMLT_RS10195	Smlt2120	250.9773058	371.6564487	216.5801662	375.3963817	489.0060335	638.7142714	0.559505157	0.003076311	0.005061866
SMLT_RS10200	Smlt2121	44.55218446	35.18640935	48.63876614	27.845336	80.45343482	80.92307511	0.682824969	0.175551049	0.218382055
SMLT_RS10205	Smlt2123	57.9178398	54.9787646	65.15759238	35.06449719	61.59716103	53.46703177	1.19346837	0.396081633	0.456282437
SMLT_RS10210	Smlt2124	57.9178398	88.69907356	49.55647871	55.69067201	124.451407	105.4890086	0.691483533	0.140316226	0.178677327
SMLT_RS10215	Smlt2125	1021.730097	1271.842088	1051.698604	456.8697722	297.9291258	234.0988959	3.373836653	4.00E-11	1.30E-10
SMLT_RS10220	Smlt2126	65.34320387	62.30926655	62.40445467	170.1659422	163.4210395	151.7307658	0.391131192	1.99E-10	6.20E-10
SMLT_RS10225	Smlt2127	481.1635922	479.4148273	430.4071947	898.2699133	863.6173394	867.0329477	0.529309922	9.12E-10	2.71E-09
SMLT_RS10230	Smlt2128	688.3312499	656.8129744	651.5759238	962.2110552	817.1051974	754.3186645	0.787371152	0.04008314	0.05648231
SMLT_RS10235	Smlt2129	642.2939926	634.0884184	730.4992047	324.8622534	344.4412678	273.1153785	2.125760093	1.17E-09	3.45E-09
SMLT_RS10240	Smlt2130	1991.482645	1678.684946	1951.056921	1120.001293	631.0566293	514.4395489	2.478170997	6.80E-06	1.48E-05
SMLT_RS10245	Smlt2131	270.2832524	343.0674911	241.3584056	1033.371358	678.8258563	486.9835056	0.388413394	3.89E-06	8.63E-06
SMLT_RS10250	Smlt2132	1459.826577	1350.278459	1667.483737	3866.37647	3181.68193	2459.483462	0.470747544	4.42E-07	1.07E-06
SMLT_RS10255	Smlt_t38	58.6603762	60.84316616	49.55647871	299.0795349	118.1659824	119.9395578	0.31385035	1.12E-05	2.38E-05
SMLT_RS10260	Smlt2133	859.1146237	835.677222	1017.743239	356.8328243	248.902814	229.7637311	3.235994151	4.46E-14	1.76E-13
SMLT_RS10265	Smlt2134	58.6603762	98.96177628	55.06275412	46.40889334	55.31173644	50.57692195	1.40281892	0.12928134	0.165709221
SMLT_RS10270	Smlt2135	52.72008494	60.84316616	71.58158036	43.31496712	49.02631184	57.80219651	1.237308167	0.276644654	0.328560142
SMLT_RS10275	Smlt2136	164.8430825	168.6015448	162.4351247	95.9117129	79.1963499	67.9175809	2.026388203	5.50E-06	1.20E-05
SMLT_RS10280	Smlt2137	6686.540351	8447.670444	6905.78708	1467.552338	570.7165532	601.1428437	8.342942764	2.64E-18	1.33E-17
SMLT_RS10285	Smlt2138	380.9211771	348.1988425	401.0403925	231.013158	129.4797467	130.0549421	2.291870285	6.85E-06	1.49E-05
SMLT_RS10290	Smlt2139	490.8165655	367.2581475	669.9301752	469.2454771	237.5890497	254.3296646	1.585875337	0.0408345	0.057445144
SMLT_RS10295	Smlt2140	865.7974513	790.9611601	1012.236963	1177.754582	588.3157421	515.8846039	1.168141768	0.476671251	0.536846048
SMLT_RS10300	Smlt2141	293.301881	324.0081861	282.6554712	1950.204829	1736.034273	1645.917546	0.168818438	2.30E-55	5.12E-54
SMLT_RS10305	Smlt2142	38.6118932	35.18640935	24.77823936	352.7075894	279.072852	283.2307629	0.108388378	9.92E-37	1.18E-35
SMLT_RS10310	Smlt2143	23.76116504	40.31776071	34.87307761	227.9192317	226.2752854	283.2307629	0.134215264	1.14E-27	9.31E-27
SMLT_RS10315	Smlt2144	70.54095873	103.3600775	59.65131697	480.5898732	480.2064391	552.0109767	0.15507461	1.80E-28	1.55E-27
SMLT_RS10325	Smlt2148	257.6601335	290.2878771	309.2691357	145.4145325	87.99594433	124.2747225	2.388940671	1.26E-07	3.18E-07
